name,categories,state,stars
Urban Slice,"['Pizza', 'Italian', 'Restaurants']",WI,2.0
Master Pizza,"['Italian', 'Event Planning & Services', 'Restaurants', 'Pizza', 'Caterers']",OH,3.5
EVO,"['American (New)', 'Italian', 'Bars', 'Pizza', 'Cocktail Bars', 'Nightlife', 'Restaurants']",AZ,4.0
Carrabba's Italian Grill,"['Restaurants', 'Italian', 'Seafood']",NV,3.5
Naples 15,"['Italian', 'Restaurants']",WI,4.0
Vento's Pizza,"['Salad', 'Restaurants', 'Italian', 'Pizza', 'Sandwiches']",PA,3.0
Rosati's Pizza,"['Specialty Food', 'Food', 'Restaurants', 'Italian', 'Pasta Shops', 'Pizza']",AZ,3.5
Frank's Pizza & Chicken,"['Restaurants', 'Italian', 'Chicken Wings', 'Pizza']",PA,3.0
Barro's Pizza,"['Italian', 'Pizza', 'Restaurants']",AZ,3.5
Zeppe's Pizzeria,"['Desserts', 'Pizza', 'Restaurants', 'Italian', 'Food', 'Chicken Wings', 'Caterers', 'Event Planning & Services', 'Salad']",OH,3.0
Cibo,"['Sandwiches', 'Restaurants', 'Pizza', 'Italian']",AZ,4.5
Lupo by Wolfgang Puck,"['Italian', 'Restaurants']",NV,3.5
Peppino's Restaurant,"['Italian', 'Restaurants']",WI,4.0
The Great Impasta,"['Restaurants', 'Italian']",IL,3.0
Osteria Papavero,"['Restaurants', 'Italian']",WI,4.0
Emilia Romagna,"['Restaurants', 'Italian']",PA,3.0
Pasqualino's Italian Eatery,"['Italian', 'Restaurants']",PA,3.5
The Nosh Restaurant & Bar,"['Bars', 'Tex-Mex', 'American (Traditional)', 'Nightlife', 'Cocktail Bars', 'Seafood', 'Italian', 'Restaurants', 'Wine Bars']",AZ,3.0
Pomo Pizzeria - Glendale,"['Restaurants', 'Sandwiches', 'Pizza', 'Italian']",AZ,4.0
Submarinos Pizzeria,"['Restaurants', 'Italian', 'Sandwiches', 'Pizza']",AZ,4.0
Bravo Cucina Italiana,"['Restaurants', 'Italian']",NV,4.0
NYPD Pizza,"['Italian', 'Restaurants', 'Pizza']",AZ,4.0
Costa di Mare,"['Seafood', 'Italian', 'Restaurants']",NV,3.5
Pizza Hut,"['Pizza', 'Restaurants', 'Italian', 'Chicken Wings']",OH,2.5
Cucina Cucina Modern Italian,"['Restaurants', 'Italian']",AZ,3.5
Andiamo Bistro,"['Italian', 'Restaurants']",AZ,2.5
Palazzo Restaurant At Tuscany Hotel & Casino,"['Italian', 'Restaurants']",NV,4.5
Rotelli Pizza and Pasta,"['Restaurants', 'Pizza', 'Italian']",NC,3.0
The Fig Tree Restaurant,"['French', 'Restaurants', 'Italian', 'American (New)']",NC,4.5
Jimmy Daddona's,"['Restaurants', 'American (New)', 'Italian']",OH,3.5
Don Antonio's Pizzeria,"['Italian', 'Restaurants', 'Pizza']",NV,2.5
Chicago Joe's,"['Sandwiches', 'Restaurants', 'Seafood', 'Italian']",NV,4.0
Pizzeria Fracesco's,"['Italian', 'Restaurants']",NV,3.0
Little Caesars Pizza,"['Pizza', 'Restaurants', 'Italian']",NV,2.0
Giani's New York Pizza & Pasta,"['Italian', 'Restaurants', 'Pizza']",NV,2.5
F. Tambellini Ristorante,"['Italian', 'Restaurants']",PA,2.0
Pizza Hut,"['Italian', 'Chicken Wings', 'Buffets', 'Pizza', 'Restaurants']",AZ,2.0
Pizza Hut,"['Chicken Wings', 'Fast Food', 'Italian', 'Pizza', 'Restaurants']",AZ,3.0
Noodles & Company,"['Salad', 'Italian', 'Asian Fusion', 'Comfort Food', 'Chinese', 'Fast Food', 'Thai', 'Noodles', 'American (New)', 'Mediterranean', 'Restaurants']",WI,2.5
Carmine's Pizza Kitchen,"['Italian', 'Pizza', 'Salad', 'Nightlife', 'Restaurants', 'Bars']",NV,3.5
Sophia's Pizzeria,"['Italian', 'Pizza', 'Restaurants']",NV,3.5
Carriage Inn Restaurant and Catering,"['Bars', 'Restaurants', 'American (Traditional)', 'Nightlife', 'Italian', 'Caterers', 'Event Planning & Services', 'Lounges', 'Seafood']",PA,3.0
Nino's Italian Restaurant,"['Restaurants', 'Italian', 'Bars', 'Pizza', 'Nightlife']",OH,4.5
Terra Mia Italian Restaurant,"['Italian', 'Restaurants']",AZ,4.5
Cafe Roma,"['Restaurants', 'Italian']",AZ,3.5
Pizza Hut,"['Pizza', 'Restaurants', 'Chicken Wings', 'Italian']",OH,1.5
Olive Garden Italian Restaurant,"['Salad', 'Italian', 'Nightlife', 'Restaurants', 'Bars', 'Wine Bars']",NV,3.5
DiAnoia's Eatery,"['Delis', 'Restaurants', 'Sandwiches', 'Italian']",PA,4.5
Lidia's,"['Food', 'Bars', 'Restaurants', 'Desserts', 'Nightlife', 'Italian']",PA,3.5
17th Street Cafe,"['American (Traditional)', 'Italian', 'Restaurants', 'American (New)']",PA,3.5
Pizza Hut,"['Italian', 'Restaurants', 'Pizza']",NV,2.5
Little Chicago Pizza,"['Italian', 'Restaurants', 'Pizza']",AZ,4.0
Lucky Kitchen,"['Restaurants', 'Food Delivery Services', 'Italian', 'Chinese', 'Food', 'Fast Food']",AZ,3.0
Streets of New York,"['Italian', 'Sandwiches', 'Restaurants', 'Pizza']",AZ,3.0
Ponte Vecchio,"['Italian', 'Restaurants']",OH,4.0
Pino's Pizza Al Centro,"['Restaurants', 'Bars', 'Nightlife', 'Italian', 'Wine Bars', 'Pizza', 'Salad']",AZ,4.0
Oregano's Pizza Bistro,"['Italian', 'Pizza', 'Restaurants']",AZ,4.0
424 Walnut,"['American (New)', 'American (Traditional)', 'Italian', 'Restaurants']",PA,4.0
Rancho Pinot,"['Italian', 'Restaurants', 'American (New)']",AZ,4.0
Tuscany Steak & Pasta House,"['Restaurants', 'Italian']",IL,3.0
Common Pasta,"['Street Vendors', 'Italian', 'Food', 'Restaurants']",WI,4.5
Riccio's Italian Restaurant,"['Restaurants', 'Italian', 'Pizza']",NC,4.0
Lubrano's Pizza,"['Restaurants', 'Italian', 'Pizza']",NC,5.0
D'Italia,"['Restaurants', 'Italian']",OH,4.5
Oregano's Pizza Bistro,"['Nightlife', 'Pizza', 'Bars', 'Restaurants', 'Italian']",AZ,3.5
Barzinis,"['Restaurants', 'Bakeries', 'Food Delivery Services', 'Food', 'Italian', 'Pizza']",AZ,3.5
The Chelsea Grille,"['Italian', 'Restaurants', 'Seafood', 'American (New)']",PA,4.0
Italian Oven Restaurant,"['Italian', 'Restaurants']",PA,4.0
Noodles & Company,"['Noodles', 'Asian Fusion', 'Italian', 'Comfort Food', 'Restaurants']",PA,3.5
Piatto Ristorante Italiano,"['Restaurants', 'Italian', 'Food']",PA,3.0
Vasileio's Italian Kitchen,"['Restaurants', 'Greek', 'Italian']",NC,3.0
Barro's Pizza,"['Italian', 'Restaurants', 'Sandwiches', 'Pizza']",AZ,3.0
Payless Pizza #2 and Ribs,"['Pizza', 'Barbeque', 'Italian', 'American (New)', 'Salad', 'Food', 'American (Traditional)', 'Restaurants']",NV,4.5
Krave Restaurant & Bar,"['Food', 'Beer', 'Wine & Spirits', 'Restaurants', 'American (New)', 'Nightlife', 'Coffee & Tea', 'Italian', 'Bars']",OH,2.5
Luna Rossa,"['Pizza', 'Nightlife', 'Bars', 'Italian', 'Restaurants']",NV,3.0
Sassi,"['Wine Bars', 'Party & Event Planning', 'Restaurants', 'Italian', 'Nightlife', 'Bars', 'Event Planning & Services', 'Venues & Event Spaces']",AZ,4.0
Pizza Hut,"['Restaurants', 'Chicken Wings', 'Pizza', 'Italian']",NC,1.5
Vincent's of Green Tree,"['Salad', 'Restaurants', 'Italian', 'Pizza']",PA,3.5
Cuttlefish,"['Food', 'Seafood', 'Restaurants', 'Italian', 'Fish & Chips']",AZ,4.0
Trattoria D'Amico,"['Wine Bars', 'American (New)', 'Caterers', 'Nightlife', 'Italian', 'Bars', 'Restaurants', 'Event Planning & Services']",AZ,4.0
Zeppe's Tavern & Pizzeria,"['Food', 'Italian', 'Desserts', 'Wraps', 'Restaurants', 'Pizza', 'Bars', 'Gastropubs', 'Nightlife', 'Event Planning & Services', 'Caterers', 'Burgers']",OH,3.0
Romano's Macaroni Grill,"['Restaurants', 'Italian']",NV,3.0
Joe's New York Pizza,"['Restaurants', 'Pizza', 'Italian']",NV,3.5
Sauce,"['Breakfast & Brunch', 'Burgers', 'Restaurants', 'American (New)', 'Italian']",PA,3.0
Streets of New York,"['Pizza', 'Italian', 'Restaurants']",AZ,2.5
Pizza Hut,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']",WI,2.0
Pizza Hut,"['Restaurants', 'Chicken Wings', 'Pizza', 'Italian']",OH,2.5
Sicily's Pizza,"['Italian', 'Restaurants', 'Pizza', 'Chicken Wings']",NV,2.0
Mario's Family Italian Restaurant,"['Italian', 'Caterers', 'Restaurants', 'Event Planning & Services']",PA,4.0
Strings Italian Cafe,"['Restaurants', 'Italian']",NV,3.5
Ago,"['Restaurants', 'Italian']",NV,3.5
Molinari's,"['Italian', 'Party & Event Planning', 'Nightlife', 'Restaurants', 'Event Planning & Services', 'Wine Bars', 'Pizza', 'Diners', 'Venues & Event Spaces', 'Bars']",OH,4.0
Carmine's Italian Cafe,"['Italian', 'Restaurants', 'Pizza']",NV,2.5
The Pods By Wolfgang Puck,"['Pizza', 'Restaurants', 'Italian']",NV,3.0
Congin's Pizza,"['Pizza', 'Italian', 'Restaurants']",OH,4.5
Esposito's Pizzeria Bagels,"['Breakfast & Brunch', 'Restaurants', 'Pizza', 'Italian']",SC,2.0
Fork & Spoon Cafe at RP's Pasta Co.,"['Vegetarian', 'Restaurants', 'Italian', 'Sandwiches', 'Local Flavor']",WI,3.5
Kalie's Restaurant,"['Mediterranean', 'Breakfast & Brunch', 'Italian', 'Restaurants']",OH,2.5
Bacaro,"['American (New)', 'Nightlife', 'Italian', 'Lounges', 'Bars', 'Restaurants']",IL,4.0
Rocco's,"['Italian', 'Pizza', 'Restaurants', 'Delis']",NV,4.0
Derado's Italian Gourmet,"['Italian', 'Restaurants']",NC,4.0
Cafe Volare,"['Italian', 'Restaurants', 'Internet Cafes', 'Food']",NV,4.0
Sunset Pizzeria - Downtown,"['Bars', 'Pizza', 'Beer Bar', 'Nightlife', 'Restaurants', 'Italian']",NV,3.0
La Piazza,"['Restaurants', 'Italian']",NV,3.5
Pizza Hut,"['Chicken Wings', 'Italian', 'Restaurants', 'Pizza']",NC,2.0
Storms Restaurant & Catering,"['Event Planning & Services', 'Italian', 'Restaurants', 'Caterers']",PA,4.0
Pizza Factory,"['Italian', 'Pizza', 'Restaurants']",NV,3.0
Rosie's Italian Cafe,"['Restaurants', 'Italian']",AZ,3.5
Al's Beef,"['Sandwiches', 'Italian', 'Restaurants', 'Hot Dogs']",NV,3.5
Oasis Pasta House,"['Restaurants', 'Italian']",PA,4.5
Giada,"['Restaurants', 'Italian']",NV,3.5
Raya's Pizzeria,"['Pizza', 'Italian', 'Restaurants']",PA,4.0
Streets of New York,"['Wine Bars', 'Italian', 'Bars', 'Pizza', 'Nightlife', 'Restaurants', 'Sandwiches']",AZ,3.0
Villa Italia Ristoranti,"['Pizza', 'Restaurants', 'Italian']",AZ,4.0
Dema's Italian Bistro,"['Restaurants', 'Italian', 'Pizza']",AZ,2.5
The Old Spaghetti Factory,"['Italian', 'Restaurants']",AZ,3.0
Cucina Tagliani,"['Italian', 'Restaurants']",AZ,3.5
Pizzuvio,"['Restaurants', 'Pizza', 'Italian']",PA,4.5
Sunseri Jimmy & Nino,"['Imported Food', 'Ethnic Food', 'Specialty Food', 'Restaurants', 'Italian', 'Food']",PA,4.0
Pizza Hut,"['Restaurants', 'Pizza', 'Chicken Wings', 'Italian']",IL,4.5
Mama Gina's Pizzeria,"['Restaurants', 'Italian', 'Pizza']",AZ,3.0
Pita Kouzina,"['Restaurants', 'Mediterranean', 'Greek', 'Italian']",AZ,5.0
Pizza Hut,"['Restaurants', 'Italian', 'Chicken Wings', 'Pizza']",OH,2.0
Buon Giorno Cafe,"['Cafes', 'Modern European', 'Italian', 'Coffee & Tea', 'Restaurants', 'Food']",PA,4.0
Hoffstot's Cafe Monaco,"['Restaurants', 'Salad', 'Seafood', 'Italian']",PA,3.5
Pizza Hut,"['Italian', 'Chicken Wings', 'Pizza', 'Restaurants']",OH,3.0
Pizza Hut,"['Italian', 'Chicken Wings', 'Restaurants', 'Pizza']",PA,1.5
Pasquale's Restaurant & Pub,"['Pizza', 'Nightlife', 'American (Traditional)', 'American (New)', 'Sports Bars', 'Restaurants', 'Bars', 'Italian', 'Pubs']",SC,4.0
Amante Pizza and Pasta,"['Italian', 'Pizza', 'Restaurants']",AZ,3.0
Coleone's Restaurant,"['Food', 'Pizza', 'Restaurants', 'Italian', 'Coffee & Tea']",OH,3.5
Gluttons,"['American (New)', 'Italian', 'Chinese', 'Restaurants']",AZ,3.5
Sardella's Pizza & Wings,"['Italian', 'Chicken Wings', 'Event Planning & Services', 'Food', 'Pizza', 'Restaurants', 'Food Delivery Services', 'Caterers']",AZ,4.0
Filippo's Pizza & Italian Food,"['Pizza', 'Restaurants', 'Italian']",IL,4.5
Emporio: A Meatball Joint,"['Breweries', 'Venues & Event Spaces', 'American (Traditional)', 'Italian', 'Nightlife', 'Restaurants', 'American (New)', 'Event Planning & Services', 'Food', 'Beer Bar', 'Bars', 'Gluten-Free']",PA,4.0
Pizza Hut,"['Pizza', 'Chicken Wings', 'Italian', 'Restaurants']",PA,1.5
Portofino Ristorante West,"['Italian', 'Restaurants']",AZ,3.5
Capriccio,"['Pizza', 'Restaurants', 'Italian']",NC,4.5
Mama Julianne's,"['Food', 'Restaurants', 'Pizza', 'Food Delivery Services', 'Italian']",OH,4.0
Anthony's Trattoria,"['Nightlife', 'Italian', 'Cocktail Bars', 'Restaurants', 'Seafood', 'Bars']",NV,3.5
Pizza Hut,"['Chicken Wings', 'Italian', 'Restaurants', 'Pizza', 'Fast Food']",AZ,2.5
Pizza Hut,"['Italian', 'Chicken Wings', 'Restaurants', 'Pizza']",AZ,3.0
Ocotillo,"['Restaurants', 'Mexican', 'American (New)', 'Italian']",AZ,4.0
Pizza Hut,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']",NC,1.5
Fiamma Trattoria & Bar,"['Restaurants', 'Nightlife', 'Wine Bars', 'Italian', 'Bars']",NV,4.0
Olive Garden Italian Restaurant,"['Italian', 'Bars', 'Nightlife', 'Wine Bars', 'Restaurants', 'Salad']",OH,3.0
Pizza Hut,"['Pizza', 'Italian', 'Chicken Wings', 'Restaurants']",NV,3.0
Maggiano's Little Italy,"['Nightlife', 'Italian', 'Bars', 'Restaurants']",NV,4.0
Tomato Grill,"['Seafood', 'Italian', 'Restaurants', 'Nightlife', 'Bars']",OH,3.0
Paisan's,"['Restaurants', 'Italian', 'Pizza']",WI,3.0
Champ's Sports Grill & Lounge,"['Bars', 'Italian', 'Restaurants', 'Sports Bars', 'Nightlife']",PA,5.0
Fellini's Pizzeria,"['Salad', 'Pizza', 'Italian', 'Restaurants']",PA,4.0
Bravo  Cucina Italiana,"['Italian', 'Nightlife', 'Cocktail Bars', 'Gluten-Free', 'Restaurants', 'Bars']",OH,3.5
Nick's Diner II,"['Italian', 'American (New)', 'Restaurants', 'Breakfast & Brunch', 'Greek', 'American (Traditional)']",AZ,4.0
Bell' Italia Pizzeria,"['Salad', 'Italian', 'Pizza', 'Restaurants']",AZ,4.5
Giovanni's,"['Italian', 'Specialty Food', 'Pizza', 'Restaurants', 'Food']",NV,4.0
Tiramisu Ristorante,"['Restaurants', 'Italian']",AZ,4.0
Russo's Pizza Kitchen,"['Pizza', 'Restaurants', 'Italian']",NV,4.0
Romano's Macaroni Grill,"['Italian', 'Restaurants']",AZ,2.5
Pane Bianco,"['Sandwiches', 'Restaurants', 'Pizza', 'Italian']",AZ,4.0
Amano Pizza Bistro,"['Seafood', 'Pizza', 'Italian', 'Restaurants']",AZ,4.0
Dino's Pizza & Pasta,"['Restaurants', 'Pizza', 'Italian']",NC,4.0
Crispy Crust Pizza,"['Sandwiches', 'Restaurants', 'Pizza', 'Italian']",AZ,4.5
Zoe's Pizzeria,"['Italian', 'Restaurants', 'Pizza']",WI,4.0
Cafe Euro,"['Italian', 'Restaurants']",PA,2.0
Campo di Bella,"['Food', 'Italian', 'Farmers Market', 'CSA', 'Wineries', 'Restaurants', 'Arts & Entertainment']",WI,4.5
Zoe's Pizzeria,"['Restaurants', 'Pizza', 'Italian']",WI,4.0
Geovanti's,"['Bars', 'Italian', 'Dive Bars', 'Restaurants', 'Nightlife']",IL,3.5
Giorgio Ristorante E Caffe,"['Restaurants', 'Italian']",NV,3.5
Little Caesar's Pizza,"['Restaurants', 'Italian', 'Pizza']",AZ,3.5
Cafe Modena,"['Italian', 'American (Traditional)', 'Sandwiches', 'Desserts', 'Restaurants', 'Food', 'Seafood', 'Pizza']",NV,3.0
Carrie Cerino's Ristorante & Party Center,"['Restaurants', 'Event Planning & Services', 'Italian', 'Wedding Planning', 'Caterers', 'Party & Event Planning', 'Venues & Event Spaces']",OH,3.5
Little Tony's,"['Pizza', 'Italian', 'Restaurants']",NV,4.0
Salute Trattoria Italiana,"['Bars', 'Nightlife', 'Restaurants', 'Italian', 'Wine Bars']",NV,3.5
Carmellas Pizza Grill,"['Restaurants', 'Nightlife', 'Pizza', 'Italian', 'Bars']",SC,3.0
Pasta Pomodoro,"['Italian', 'Restaurants']",AZ,3.5
Casa Di Amore,"['Seafood', 'Pizza', 'Restaurants', 'Salad', 'American (New)', 'Italian']",NV,4.5
Le Ragazze,"['Restaurants', 'Italian']",AZ,4.0
La Cucina Dolce,"['Restaurants', 'Italian']",PA,3.0
Monical's Pizza,"['Restaurants', 'Italian', 'Pizza']",IL,3.5
Spinato's Pizza,"['Restaurants', 'Pizza', 'Sandwiches', 'Italian']",AZ,4.0
Florencia Pizza Bistro,"['Restaurants', 'Pizza', 'Sandwiches', 'Italian']",AZ,4.5
Pizza Hut,"['Chicken Wings', 'Pizza', 'Italian', 'Restaurants']",NC,2.0
La Calabria Ristorante,"['Italian', 'Restaurants']",AZ,4.0
Allegro,"['Restaurants', 'Italian']",NV,3.5
Marco's Pizza,"['Chicken Wings', 'Italian', 'Restaurants', 'Pizza']",NC,4.0
Brothers Italian Bistro,"['Burgers', 'Restaurants', 'Pizza', 'Italian']",NV,2.5
Oggi,"['Restaurants', 'Italian']",NC,4.0
Stumpy's Pizza & Subs,"['Sandwiches', 'Food', 'Italian', 'Pizza', 'Restaurants', 'Desserts']",AZ,4.0
Olive Garden Italian Restaurant,"['Italian', 'Nightlife', 'Wine Bars', 'Bars', 'Restaurants', 'Salad']",PA,3.5
Guido's Pizza Haven & Restaurant,"['Italian', 'Restaurants', 'Caterers', 'Pizza', 'Event Planning & Services']",OH,4.0
Rossini's Italian Restaurant,"['Restaurants', 'Italian']",NC,3.0
Anzios Italian Restaurant,"['Pizza', 'Restaurants', 'Italian']",AZ,4.0
Taste of Italy Pizza,"['Restaurants', 'Pizza', 'Italian']",AZ,4.0
Ida's,"['Italian', 'Restaurants']",PA,3.0
Brio Tuscan Grille,"['Tuscan', 'Italian', 'Nightlife', 'Pizza', 'Restaurants', 'Cocktail Bars', 'Gluten-Free', 'Bars']",NV,4.0
Rosati's Pizza,"['Italian', 'Pizza', 'Caterers', 'Restaurants', 'Event Planning & Services']",WI,3.5
Pizza Hut,"['Italian', 'Restaurants', 'Pizza', 'Chicken Wings']",AZ,2.5
Francos Italian Restaurant,"['Italian', 'Restaurants']",PA,3.5
Pizza Hut,"['Pizza', 'Chicken Wings', 'Restaurants', 'Italian']",OH,2.0
McGurkee's Italian Kitchen,"['Greek', 'Italian', 'Sandwiches', 'Restaurants']",AZ,4.5
Corso's Italian Restaurant,"['Italian', 'Restaurants']",OH,3.0
Esta Esta Restaurant,"['Restaurants', 'Italian', 'American (Traditional)', 'Seafood', 'Sandwiches']",PA,3.5
Maciano's Pizza & Pastaria,"['Italian', 'Pizza', 'Restaurants']",NV,3.0
Geno's Restaurant,"['Italian', 'Restaurants']",PA,3.5
The Italian Pie,"['Pizza', 'Italian', 'Restaurants']",NC,3.0
Casanova Brothers Pizza,"['Italian', 'Food', 'Restaurants', 'Pizza', 'Desserts']",AZ,4.5
Paradise Valley Pizza Company,"['Restaurants', 'Italian', 'Chicken Wings', 'Pizza', 'Salad']",AZ,4.5
Barros Pizza,"['Sandwiches', 'Pizza', 'Italian', 'Restaurants']",AZ,3.5
Cucina Bella,"['Pizza', 'Sandwiches', 'Italian', 'Restaurants']",PA,4.0
DiMartino's Italian Restaurant,"['Italian', 'Restaurants']",NV,3.5
Grand Pizza,"['Restaurants', 'Pizza', 'Italian', 'Fast Food']",NV,4.0
Romano's Macaroni Grill,"['Restaurants', 'Italian']",NV,3.0
Manero's Italian Restaurant,"['Restaurants', 'Lounges', 'Italian', 'Bars', 'Nightlife']",OH,3.0
Pelicano's Pizza,"['Pizza', 'Italian', 'Restaurants']",OH,4.0
VinciTorio's,"['Buffets', 'Nightlife', 'Bars', 'Restaurants', 'Wine Bars', 'Italian']",AZ,4.0
Pizza People Food Truck,"['Italian', 'Food Trucks', 'Restaurants', 'Food', 'Food Stands', 'Pizza']",AZ,4.5
Naked City Pizza Shop,"['Sandwiches', 'Italian', 'Pizza', 'Chicken Wings', 'Restaurants']",NV,4.0
Charya's,"['Italian', 'American (New)', 'Steakhouses', 'Seafood', 'Restaurants']",PA,4.0
Giada's Italian Cucina,"['Italian', 'Restaurants']",NV,3.5
Empress Court,"['Chinese', 'Italian', 'Steakhouses', 'Restaurants', 'Seafood']",NV,3.5
Babbo Italian Eatery,"['Pizza', 'Italian', 'Restaurants', 'Sandwiches']",AZ,3.5
Vito's Pizza & Italian Ristorante,"['Pizza', 'Restaurants', 'Italian']",AZ,3.5
Dal Italia,"['Chicken Wings', 'Pizza', 'Restaurants', 'Italian']",NV,4.0
Blu Basil,"['Restaurants', 'Italian']",NC,3.0
New York's Best Italian Bistro,"['Beer', 'Wine & Spirits', 'Italian', 'Pizza', 'Restaurants', 'Food']",AZ,4.5
Minitalia Deli,"['Sandwiches', 'Grocery', 'Delis', 'Food', 'Italian', 'Restaurants']",PA,4.5
Papa John's Pizza,"['Pizza', 'Restaurants', 'Italian']",AZ,2.5
Babbo Italian Eatery,"['Sandwiches', 'Italian', 'Pizza', 'Restaurants']",AZ,3.5
Olio Trattoria,"['Italian', 'Restaurants']",PA,3.5
NYPD Pizza,"['Pizza', 'Sandwiches', 'Restaurants', 'Italian']",AZ,4.0
Joseph Tambellini Restaurant,"['Restaurants', 'Italian']",PA,4.5
Gallo's Pizza Kitchen,"['Restaurants', 'Italian', 'Pizza']",NV,3.5
1000 Degrees Neapolitan Pizzeria,"['Restaurants', 'Pizza', 'Italian']",AZ,4.5
Vinny's Pizzeria,"['Pizza', 'Italian', 'Restaurants']",NV,3.5
Oregano's Pizza Bistro,"['Food', 'Specialty Food', 'Restaurants', 'Chicken Wings', 'Italian', 'Pasta Shops', 'Pizza']",AZ,4.0
La Focaccia,"['Restaurants', 'Italian']",NV,3.0
Bistro D'Antonio,"['Italian', 'Restaurants']",NC,4.5
Bottiglia Cucina & Enoteca,"['Wine Bars', 'Bars', 'Restaurants', 'Italian', 'Nightlife']",NV,4.0
Matt's Chicago Dog,"['Restaurants', 'Pizza', 'Sandwiches', 'Italian', 'Hot Dogs']",NC,4.0
Barro's Pizza,"['Restaurants', 'Italian', 'Sandwiches', 'Pizza']",AZ,3.5
Positano Osteria,"['Restaurants', 'Italian']",NC,3.5
Manzella's Italian Patio,"['Italian', 'Restaurants', 'Pizza', 'Barbeque']",IL,3.0
The Yacht Club,"['Sports Clubs', 'Italian', 'Seafood', 'Nightlife', 'Bars', 'Active Life', 'American (New)', 'Restaurants']",AZ,4.0
Pizza Hut,"['Restaurants', 'Pizza', 'Chicken Wings', 'Italian']",WI,1.5
Gus's Pizza,"['Pizza', 'Italian', 'Restaurants']",AZ,3.0
Pizza Hut,"['Restaurants', 'Italian', 'Chicken Wings', 'Pizza']",PA,2.5
Merlinos Pizza,"['Sandwiches', 'Salad', 'Restaurants', 'Italian', 'Food Delivery Services', 'Food', 'Pizza']",PA,3.5
Cenacolo Restaurant,"['Restaurants', 'Italian']",PA,4.5
Pizzeria Enzo Restaurant,"['Pizza', 'Italian', 'Restaurants']",NV,4.0
Rooster's Uptown,"['French', 'Restaurants', 'Italian', 'American (New)']",NC,4.0
Caffe Roma,"['Italian', 'Restaurants']",OH,4.0
Redendo's Pizza & Pasta,"['Italian', 'Salad', 'Restaurants', 'Pizza']",AZ,4.0
Cucina di Vita,"['Italian', 'Restaurants', 'Delis', 'Caterers', 'Event Planning & Services']",AZ,3.5
Josephine's Italian Restaurant,"['Italian', 'Restaurants']",AZ,3.0
4one4 Pizza,"['Pubs', 'Nightlife', 'Italian', 'Restaurants', 'Pizza', 'Karaoke', 'Bars']",AZ,3.5
Pasta Cucina,"['Event Planning & Services', 'Hotels & Travel', 'Bars', 'Hotels', 'Restaurants', 'Food', 'Nightlife', 'Italian', 'Pizza']",NV,3.0
Christo's Ristorante,"['Italian', 'Bars', 'Restaurants', 'Wine Bars', 'Nightlife', 'Seafood']",AZ,4.0
LaRich's Pizza,"['Pizza', 'Chicken Wings', 'Restaurants', 'Italian']",OH,3.5
Naked City Tavern,"['Italian', 'Restaurants', 'Pizza', 'Nightlife', 'Bars', 'Sports Bars', 'American (New)']",NV,3.5
Old School Italian Sandwich Shop,"['Restaurants', 'Italian', 'Sandwiches']",PA,4.5
Tomaydo Tomahhdo Express,"['Restaurants', 'Italian']",OH,4.0
Buca di Beppo,"['Pizza', 'Italian', 'Restaurants', 'Event Planning & Services', 'Food', 'Caterers']",OH,3.0
Barro's Pizza,"['Sandwiches', 'Restaurants', 'Italian', 'Pizza']",AZ,3.5
Ladles of Springdale,"['Sandwiches', 'American (Traditional)', 'Italian', 'Restaurants']",PA,3.5
Olive Garden Italian Restaurant,"['Bars', 'Nightlife', 'Restaurants', 'Italian', 'Salad', 'Wine Bars']",NC,3.0
Frankie's Famous Pizza,"['Italian', 'Pizza', 'Food', 'Food Delivery Services', 'Restaurants']",AZ,3.5
Martino's Italian Restaurant,"['Italian', 'Restaurants']",NC,3.0
Italian Village Pizza,"['Italian', 'Restaurants', 'Pizza']",PA,3.5
Romano's Macaroni Grill,"['Restaurants', 'Italian']",OH,3.0
Pizza and Gyro Express,"['Restaurants', 'Pizza', 'Greek', 'Italian']",PA,3.0
Mike's Kitchen,"['Italian', 'Mediterranean', 'Greek', 'Restaurants']",AZ,4.0
Monical's Pizza,"['Restaurants', 'Pizza', 'Italian']",IL,1.5
Pizza Hut,"['Restaurants', 'Chicken Wings', 'Pizza', 'Italian']",OH,3.5
Meatball Spot,"['American (New)', 'Italian', 'Restaurants']",NV,2.5
Geraci's Restaurant,"['Restaurants', 'Pizza', 'Italian']",OH,3.5
Aracri's Greentree Inn,"['Restaurants', 'Seafood', 'American (New)', 'Italian']",PA,3.5
Angelina's Pizza,"['Italian', 'Pizza', 'Restaurants']",OH,4.0
Fiamma,"['Italian', 'Restaurants']",NC,4.0
Up Modern Kitchen,"['American (New)', 'Italian', 'Restaurants']",PA,3.5
Prosecco Fresh Italian Kitchen,"['Pizza', 'Bars', 'Wine Bars', 'Restaurants', 'Nightlife', 'Italian']",NV,4.5
Distefano's Authentic Italian Foods,"['Meat Shops', 'Delis', 'Specialty Food', 'Caterers', 'Food', 'Pizza', 'Restaurants', 'International Grocery', 'Italian', 'Event Planning & Services', 'Bakeries']",OH,4.5
Brugos Pizza,"['Pizza', 'Italian', 'Restaurants']",AZ,3.0
Lakeside Bar & Grill,"['Italian', 'American (New)', 'Restaurants', 'Burgers']",AZ,3.5
